Vendors name,Address,Phone number,Email,Social account,Website URL,Image URL,Vendors description,Category
RMNG Experiential Marketing Agency,"Los Angeles, CA",+1 949 812 8253,['connect@rmng.co'],https://www.instagram.com/rmng_agency,http://rmng.co,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Experiential Marketing for the Post-Covid World. We launch pop-up campaigns, promotional tours and branded activations that go anywhere, draw attention in a big way, and satisfy customers’ appetites for unique brand experiences.",Experiential Agency
Not Boring Events,"New York, NY",+1 914 874 7032,['tovarenasterling@gmail.com'],https://www.instagram.com/cheftova,http://cheftova.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","I Host Virtual Chocolate Tastings For Customer Events, Team Buildings & Fundraisers",Group Activities
The Cocktail Architect,"Brooklyn, NYWoodstock, NY",+1 646 334 1734,[],https://www.instagram.com/thecocktailarchitect.com,http://thecocktailarchitect.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Cocktail Classes, Kits, and simple Syrups The Cocktail Architect is a Mixology & Events company run by a duo of Culinary Creatives, with locations in New York, Olivebridge NY, and The Hudson Valley, we host Cocktail Classes, Kits, and Syrups",Beverage Services
JJLA,"Los Angeles, CA",+1 213 248 1225,['events@jj-la.com'],https://www.instagram.com/meetjjla,http://jj-la.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","JJLA produces unexpected and innovative solutions for projects ranging from public concerts, festivals and brand experiences, to corporate brand activations, trade shows, experiential tours, non-profit benefits and private events.",Experiential Agency
NVE Experience Agency,"West Hollywood, CANew York, NY",+1 323 785 2710,[],https://www.instagram.com/experiencenve,http://experiencenve.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg",The right moment will transform someone forever.,Experiential Agency
Pink Sparrow,"Brooklyn, NYGardena, CA",No Phone Number,[],https://www.instagram.com/pinksparrow_,http://pinksparrow.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Pink Sparrow is a forward-thinking design and fabrication shop specializing in experiential environments. We produce high-quality, impactful environments for marketing events, pop-ups, mobile tours, retail, trade shows, and much more.",Fabrication
C2 Imaging ,Multiple locations,+1 720 941 5900,[],https://www.instagram.com/c2imaging,http://c2imaging.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","We are C2 Imaging, a premiere technology company specializing in print. It’s our job to help your brand stand out and communicate through a wide variety of materials.",Signage & Printing
Bright Event Rentals,Multiple locations,No Phone Number,[],https://www.instagram.com/brighteventrentals,http://bright.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg",Bright Event Rentals is your full-service rental company for special events of any size in California and Arizona.,Rentals
Sound Investment AV,"Brooklyn, NYChicago, IL",+1 646 518 8989,"['info@soundinvestmentav.com', 'info@soundinvestmentav.com']",https://www.instagram.com/sound_investment,http://soundinvestmentav.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","State of The Art Audio, Video and Lighting Solutions. Collaborative Team. Innovative Technologies. Heightening Sensory Experience.",AV Rental & Production
Lumen & Forge,"Las Vegas, NV",+1 702 443 8536,[],https://www.instagram.com/lumenandforge,http://lumenandforge.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1661519210190_52256262744_375a4e6eec_k.jpg","Lumen & Forge is a multi-disciplined company with a creatively driven team of immersive experts transporting participants into awe-inspiring, extreme, and otherworldly encounters. Many have referred to L&F as their experiential secret weapon. ",Experiential Tech
