Vendors name,Address,Phone number,Email,Social account,Website URL,Image URL,Vendors description,Category
RMNG Experiential Marketing Agency,"Los Angeles, CA",+1 949 812 8253,"['connect@rmng.co', 'connect@rmng.co']",https://www.instagram.com/rmng_agency,http://rmng.co,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F24841%2F1662536337092_51232725373_93f8b4528f_k.jpg","Experiential Marketing for the Post-Covid World. We launch pop-up campaigns, promotional tours and branded activations that go anywhere, draw attention in a big way, and satisfy customers’ appetites for unique brand experiences.",Experiential Agency
Not Boring Events,"New York, NY",+1 914 874 7032,"['tovarenasterling@gmail.com', 'tovarenasterling@gmail.com', 'tovarenasterling@gmail.com']",https://www.instagram.com/cheftova,http://cheftova.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F12170%2F1610141017341_IMG-8891.jpg","I Host Virtual Chocolate Tastings For Customer Events, Team Buildings & Fundraisers",Group Activities
The Cocktail Architect,"Brooklyn, NYWoodstock, NY",+1 646 334 1734,"['//static.parastorage.com/unpkg/core-js-bundle@3.2.1', '//static.parastorage.com/unpkg/focus-within-polyfill@5.0.9', '//605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com', '//831126cb46b74583bf6f72c5061cba9d@sentry-viewer.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8c4075d5481d476e945486754f783364@sentry.io', '/dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '/8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com', '//static.parastorage.com/unpkg/lodash@4.17.21', '//static.parastorage.com/unpkg/react@16.14.0', '//static.parastorage.com/unpkg/react-dom@16.14.0']",https://www.instagram.com/thecocktailarchitect.com,http://thecocktailarchitect.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F13032%2F1652904012710_IMG_2451.jpg","Cocktail Classes, Kits, and simple Syrups The Cocktail Architect is a Mixology & Events company run by a duo of Culinary Creatives, with locations in New York, Olivebridge NY, and The Hudson Valley, we host Cocktail Classes, Kits, and Syrups",Beverage Services
JJLA,"Los Angeles, CA",+1 213 248 1225,"['events@jj-la.com', 'events@jj-la.com', 'events@jj-la.com', 'events@jj-la.com']",https://www.instagram.com/meetjjla,http://jj-la.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F6661%2F1597279525503_BFA_28649_3732062.jpg","JJLA produces unexpected and innovative solutions for projects ranging from public concerts, festivals and brand experiences, to corporate brand activations, trade shows, experiential tours, non-profit benefits and private events.",Experiential Agency
NVE Experience Agency,"West Hollywood, CANew York, NY",+1 323 785 2710,"['ath-65@2x-e1596163035800.png', 'hello@experiencenve.com']",https://www.instagram.com/experiencenve,http://experiencenve.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F22574%2F1660249083932_IMG_5443.jpg",The right moment will transform someone forever.,Experiential Agency
Pink Sparrow,"Brooklyn, NYGardena, CA",No Phone Number,[],https://www.instagram.com/pinksparrow_,http://pinksparrow.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F22574%2F1658947812742_NVE_Ciroc_-tory.jpg","Pink Sparrow is a forward-thinking design and fabrication shop specializing in experiential environments. We produce high-quality, impactful environments for marketing events, pop-ups, mobile tours, retail, trade shows, and much more.",Fabrication
C2 Imaging ,Multiple locations,+1 720 941 5900,[],https://www.instagram.com/c2imaging,http://c2imaging.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F17212%2F1659549211857_062922_Bascom_163A0231.jpg","We are C2 Imaging, a premiere technology company specializing in print. It’s our job to help your brand stand out and communicate through a wide variety of materials.",Signage & Printing
Bright Event Rentals,Multiple locations,No Phone Number,[],https://www.instagram.com/brighteventrentals,http://bright.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F10609%2F1648663366877_JohnMaddenReception_0047-768x512.jpg",Bright Event Rentals is your full-service rental company for special events of any size in California and Arizona.,Rentals
Sound Investment AV,"Brooklyn, NYChicago, IL",+1 646 518 8989,"['info@soundinvestmentav.com', 'info@soundinvestmentav.com']",https://www.instagram.com/sound_investment,http://soundinvestmentav.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F1293%2F1663868159391_D2FDF0A5-CB85-4ECC-AD8C-6A7E44174499.jpg","State of The Art Audio, Video and Lighting Solutions. Collaborative Team. Innovative Technologies. Heightening Sensory Experience.",AV Rental & Production
Lumen & Forge,"Las Vegas, NV",+1 702 443 8536,[],https://www.instagram.com/lumenandforge,http://lumenandforge.com,"https://thevendry.com/cdn-cgi/image/height=400,width=400,fit=contain,metadata=none/https%3A%2F%2Fs3.amazonaws.com%2Fuploads.thevendry.co%2F1151%2F1581012910730_Jeep-Xgames-20-teasers%252827of39%2529.jpg","Lumen & Forge is a multi-disciplined company with a creatively driven team of immersive experts transporting participants into awe-inspiring, extreme, and otherworldly encounters. Many have referred to L&F as their experiential secret weapon. ",Experiential Tech
